id,CustomerNumber,item_id,description,quantity_used,delivery_frequency,delivery_day,billing_type,billing_frequency,customer_price,unit_price,billing_percentage,auto_soil_count,last_delivery_date
156,304339,74000310,Mat-Graphic-3x10    ,4,Weekly,5,,Monthly,,,,,
157,306464,74000406,Mat-Graphic-4x6,1,Weekly,5,,Monthly,,,,,
158,282984,74880406,Mat-Logo-4x6        ,1,Weekly,5,,Monthly,,,,,
159,171573,76060304,MAT-NY/RB-CH RED-3X4,1,Weekly,5,,Monthly,,,,,
160,171518,76070310,MAT-NY/RB-HNYCMB3X10,1,Weekly,5,,Monthly,,,,,
161,171518,76070406,MAT-NY/RB-HNYCMB-4X6,1,Weekly,5,,Monthly,,,,,
162,171523,76080304,MAT-NY/RB-OX GRY-3X4,8,Weekly,5,,Monthly,,,,,
163,171574,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,5,,Monthly,,,,,
164,171747,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,5,,Monthly,,,,,
165,211150,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,5,,Monthly,,,,,
166,231683,76080304,MAT-NY/RB-OX GRY-3X4,6,Weekly,5,,Monthly,,,,,
167,237322,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,5,,Monthly,,,,,
168,246580,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,5,,Monthly,,,,,
169,253749,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,5,,Monthly,,,,,
170,265871,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,5,,Monthly,,,,,
171,265978,76080304,MAT-NY/RB-OX GRY-3X4,6,Weekly,5,,Monthly,,,,,
172,266010,76080304,MAT-NY/RB-OX GRY-3X4,5,Weekly,5,,Monthly,,,,,
173,274083,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,5,,Monthly,,,,,
174,280974,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,5,,Monthly,,,,,
175,285029,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,5,,Monthly,,,,,
176,285622,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,5,,Monthly,,,,,
177,290083,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,5,,Monthly,,,,,
178,306464,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,5,,Monthly,,,,,
179,320180,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,5,,Monthly,,,,,
180,171523,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,5,,Monthly,,,,,
