id,RouteNumber,ServiceDay,item_id,description,total_quantity
368,33,Monday,86680305,MAT-ALL PURPOSE KL,7
369,33,Monday,86940305,Mat-Kleen-Scrape-3x5,2
370,33,Monday,87392023,MOP-WET-TUBE-MF-BL-L,3
371,33,Monday,87392037,MOP-DUST-FRG-MF-18IN,10
372,33,Monday,87392069,MOP-WET-MF-FL-GR-18I,10
373,33,Monday,87392121,MOP-WET-MF-FL-RD-24I,13
374,33,Monday,87399023,MOP-WET-TUBE-MF-BL-L,137
375,33,Monday,87399025,MOP-WET-TUBE-MF-GR-L,38
376,33,Monday,87399050,CLTH-MF-AP-GRN-16,60
377,33,Monday,94020000,BLANKET-BATH,20
378,33,Monday,95071000,Gown-Child-S,10
379,33,Monday,95072000,Gown-Child-M,20
380,33,Monday,95073000,Gown-Child-L,30
381,33,Monday,95150000,Gown-Patient-Print,180
382,33,Monday,95170000,Plus Gown,20
383,33,Monday,97210406,Logo Mat         Cog,1
384,33,Monday,97220000,Shirts           Cog,159
385,33,Monday,97680000,Blouse           Cog,190
386,33,Monday,97739900,Apron-In&Out     Cog,143
387,33,Monday,99840000,Laundry Bag-Pvc-Blue,6
388,75,Friday,1500000,APRON-BIB-SPUN-WHITE,25
389,75,Friday,1640000,APRON-BIB-POLY-BLACK,650
390,75,Friday,1900000,APRON-BIB-POLY-RED,30
391,75,Friday,2600000,APRON-4WAY-DC-WHITE,25
392,75,Friday,7244000,Hyperbaric-Pat-Gown,12
393,75,Friday,7244234,Hyperbaric-Plw Slip,40
394,75,Friday,7246604,Hyperbaric-Twin Sht,30
395,75,Friday,7247090,Hyperbaric-Bath Blnk,30
396,75,Friday,11100000,GRILL-PAD,163
397,75,Friday,11281619,TOWEL-BARMOP-BLSTR,3780
398,75,Friday,11300250,Towel-Bar-Mop-Bagged,350
399,75,Friday,11421836,TOWEL-DISH,50
400,75,Friday,11601837,TOWEL-FACE,144
401,75,Friday,11720000,Towel-Kitchen,1405
402,75,Friday,11920000,Towel-Steam-Bar,20
403,75,Friday,12221818,Towel-Shop-Blue,75
404,75,Friday,12240000,Towel-Shop-Dyed,2650
405,75,Friday,12301818,TOWEL-SHOP-WHITE,125
406,75,Friday,12940000,COVER-FENDER-AUTO,42
407,75,Friday,14200001,TWL-MICRO-BLUE-15X16,20
408,75,Friday,14200002,Twl-Micro-Grn-15x16 ,320
409,75,Friday,40304234,SLIP-P-42X36,112
410,75,Friday,40766615,SHEET-SNGL-DC-66X115,125
411,75,Friday,40789015,SHEET-90-QUEEN-D/C,68
412,75,Friday,41082030,BATH MAT-WHITE,50
